feedback_id,customer_id,feature_id,rating,feedback_category,comment,sentiment,created_at
FB001,C001,F002,4,General Satisfaction,Easy to use.,Positive,2026-06-23
FB002,C001,F003,5,Feature Request,Would like more customization.,Positive,2026-02-25
FB003,C001,F004,4,Reliability,Excellent AI suggestions.,Positive,2026-04-18
FB004,C001,F005,4,General Satisfaction,Really improves productivity.,Positive,2026-03-29
FB005,C001,F006,5,General Satisfaction,Easy to use.,Positive,2026-04-08
FB006,C001,F008,3,Reliability,Satisfactory.,Neutral,2026-01-12
FB007,C002,F003,4,UI/UX,Easy to use.,Positive,2026-03-01
FB008,C002,F005,5,Feature Request,Needs additional export formats.,Positive,2026-02-23
FB009,C002,F006,3,Reliability,Average experience.,Neutral,2026-01-19
FB010,C002,F008,3,General Satisfaction,Useful but could be improved.,Neutral,2026-04-08
FB011,C002,F009,1,UI/UX,Needs better performance.,Negative,2026-01-15
FB012,C002,F014,5,UI/UX,Works perfectly.,Positive,2026-01-17
FB013,C002,F015,2,Reliability,Response time is too long.,Negative,2026-04-12
FB014,C002,F020,5,Reliability,Highly recommended.,Positive,2026-04-20
FB015,C003,F003,2,Performance,Too slow.,Negative,2026-01-29
FB016,C003,F006,5,Reliability,Easy to use.,Positive,2026-04-09
FB017,C004,F001,3,Reliability,No major issues.,Neutral,2026-03-10
FB018,C004,F007,5,Reliability,Excellent experience.,Positive,2026-05-10
FB019,C005,F005,4,Feature Request,Please add more filtering options.,Positive,2026-05-19
FB020,C005,F015,5,General Satisfaction,Very useful feature.,Positive,2026-03-03
FB021,C005,F018,4,Reliability,Excellent experience.,Positive,2026-02-02
FB022,C006,F003,5,Reliability,Saves me a lot of time.,Positive,2026-03-21
FB023,C006,F014,4,Reliability,Excellent AI suggestions.,Positive,2026-02-28
FB024,C006,F017,3,General Satisfaction,Good overall.,Neutral,2026-01-18
FB025,C007,F003,5,General Satisfaction,Highly recommended.,Positive,2026-05-28
FB026,C007,F016,5,UI/UX,Really improves productivity.,Positive,2026-04-16
FB027,C008,F008,5,General Satisfaction,Saves me a lot of time.,Positive,2026-02-19
FB028,C008,F009,5,General Satisfaction,Works perfectly.,Positive,2026-04-29
FB029,C008,F010,2,UI/UX,Sometimes crashes.,Negative,2026-01-13
FB030,C008,F014,4,General Satisfaction,Really improves productivity.,Positive,2026-05-05
FB031,C008,F020,5,UI/UX,Great implementation.,Positive,2026-03-15
FB032,C009,F016,4,Reliability,Excellent AI suggestions.,Positive,2026-01-16
FB033,C010,F002,3,Reliability,Acceptable performance.,Neutral,2026-05-16
FB034,C010,F004,1,Performance,Sometimes crashes.,Negative,2026-06-02
FB035,C010,F008,2,Performance,Export fails occasionally.,Negative,2026-05-29
FB036,C011,F001,3,General Satisfaction,Satisfactory.,Neutral,2026-04-12
FB037,C011,F003,5,General Satisfaction,Very useful feature.,Positive,2026-04-28
FB038,C011,F005,4,General Satisfaction,Very intuitive interface.,Positive,2026-01-18
FB039,C011,F009,5,Reliability,Excellent AI suggestions.,Positive,2026-01-03
FB040,C011,F016,1,Performance,UI is confusing.,Negative,2026-01-30
FB041,C012,F002,4,Reliability,Very intuitive interface.,Positive,2026-02-22
FB042,C012,F005,4,Feature Request,Dark mode would be useful.,Positive,2026-03-12
FB043,C012,F006,4,Reliability,Works perfectly.,Positive,2026-02-11
FB044,C012,F008,4,General Satisfaction,Easy to use.,Positive,2026-06-26
